ID,X,Z,Sectors
1,-18000,18000,N A2 W
2,-11800,18000,N A2 A1
3,-3000,18000,N Se1 A1
4,3800,18000,N C3 Se1
5,12300,18000,N C4 C3
6,18000,18000,E C4 N
7,-18000,12600,A2 E1 W
8,-12900,12200,A2 Se3 E1
9,-10800,15200,A1 Se3 A2
10,-5300,14900,A1 Se2 Se3
11,-4000,15900,A1 Se1 Se2
12,2600,9700,Se1 C1 Se2
13,4900,11700,Se1 C2 C1
14,4900,14100,C3 C2 Se1
15,10800,15100,C3 C4 C2
16,11400,11000,C4 L1 C2
17,18000,8100,E M1 L1 C4
18,-18000,6600,E1 E2 W
19,-11500,7600,Se3 Se5 Se6 E2 E1
20,-4800,8100,Se2 Se4 Se5 Se3
21,1800,8000,Se2 C1 Se4
22,3700,4800,C1 L2 Se4
23,8800,5700,L1 L2 C1
24,8300,10100,C2 L1 C1
25,-18000,-900,E2 H1 W
26,-17600,-500,E2 Se6 H1
27,-13300,-2900,Se6 Se7 H2 H1
28,-6900,-1000,Se5 Se7 Se6
29,-3900,-1300,Se4 O1 Se8 Se7 Se5
30,2000,800,Se4 L3 O1
31,2600,2400,Se4 L2 L3
32,11900,4000,L2 M1 L3
33,12300,5000,L1 M1 L2
34,4700,-1200,L3 M3 O1
35,11300,-700,L3 M2 M3
36,11900,0,M1 M2 L3
37,18000,400,E M2 M1
38,-18000,-9600,H1 H3 W
39,-16700,-9700,H1 H2 H3
40,-13500,-12800,H2 Se9 H3
41,-10600,-10000,Se7 Se9 H2
42,-7500,-10300,Se7 Se8 Se9
43,-6200,-14700,Se8 Si1 Se9
44,-400,-9700,O1 Si1 Se8
45,4700,-8900,M3 Si2 Si1 O1
46,7200,-9400,M3 M4 Si2
47,11300,-7000,M2 M4 M3
48,12100,-7000,M2 M5 M4
49,18000,-10300,E M5 M2
50,-18000,-18000,H3 S W
51,-14100,-18000,H3 Se9 S
52,-7400,-18000,Se9 Si1 S
53,2100,-18000,Si1 Si2 S
54,8700,-18000,M4 S Si2
55,12100,-18000,M5 S M4
56,18000,-18000,E S M5
